day,start_time,end_time,session_type,class,batch,subject,staff_id
Thursday,13:30:00,15:30:00,Practical,TE,TE-2,Computer Aided Design of Electrical Machines-1,9866
Thursday,13:30:00,15:30:00,Practical,TE,TE-3,Computer Aided Design of Electrical Machines-2,9866
Thursday,15:30:00,17:00:00,Lecture,TE,ALL,Test Subject,9865
Friday,8:30:00,9:30:00,Lecture,TE,ALL,Energy Management,9914
Friday,9:30:00,10:30:00,Lecture,TE,ALL,Power System-2,350
Friday,10:45:00,12:45:00,Lecture,TE,ALL,TPO Activity,9235
Friday,13:30:00,15:30:00,Practical,TE,ALL,EESA Activity,9921
Friday,15:30:00,17:00:00,Lecture,TE,ALL,Test Subject,9865
Monday,8:30:00,9:30:00,Lecture,BE,ALL,Advanced Electricel Drives & Central,9954
Monday,9:30:00,10:30:00,Lecture,BE,ALL,Advanced Electricel Drives & Central,9954
Monday,10:45:00,12:45:00,Practical,BE,BE-1,Advanced Electricel Drives & Central,9954
Monday,10:45:00,12:45:00,Practical,BE,BE-2,Switchgear and Protection,9921
Monday,10:45:00,12:45:00,Practical,BE,BE-3,,
Monday,13:30:00,14:30:00,Lecture,BE,ALL,Smart Grid,9865
Monday,14:30:00,15:30:00,Lecture,BE,ALL,Smart Grid,9865
Monday,15:30:00,17:00:00,Lecture,BE,ALL,Test Subject,9865
Tuesday,8:30:00,9:30:00,Lecture,BE,ALL,Switchgear and Protection,9921
Tuesday,9:30:00,10:30:00,Lecture,BE,ALL,Switchgear and Protection,9921
Tuesday,10:45:00,12:45:00,Practical,BE,BE-1,Switchgear and Protection,9921
Tuesday,10:45:00,12:45:00,Practical,BE,BE-2,Advanced Electricel Drives & Central,9954
Tuesday,10:45:00,12:45:00,Practical,BE,BE-3,,
Tuesday,13:30:00,14:30:00,Lecture,BE,ALL,Smart Grid,9865
Tuesday,14:30:00,15:30:00,Lecture,BE,ALL,Advanced Electricel Drives & Central,9954
Tuesday,15:30:00,17:00:00,Lecture,BE,ALL,Test Subject,9865
